odataPlaceholder,ItemInternalId,ID,Title,Branch,Description,Contact,Term_Ends,Holder,Successor,Department,Department_Contact,External,{FilenameWithExtension},{HasAttachments},Assistants
0,Lists%252fHeraldic%2bOffices%252f1_.000,1,Black Lion,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Principal Herald,blacklion@antir.org,2020-07-18,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":7,""Value"":""Marya Kargashina""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""Principal Herald""}",True,False,Black Lion,False,[]
0,Lists%252fHeraldic%2bOffices%252f2_.000,2,Blue Anchor,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Web,blueanchor@antir.org,2020-06-30,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":2,""Value"":""Hafr-Tóki""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":4,""Value"":""Staff""}",,False,Blue Anchor,False,[]
0,Lists%252fHeraldic%2bOffices%252f3_.000,3,Æstel,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Librarian,aestel@antir.org,2021-06-30,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":22,""Value"":""Fina MacGrioghair""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":7,""Value"":""Submissions""}",True,False,Æstel,False,[]
0,Lists%252fHeraldic%2bOffices%252f4_.000,4,Argent Scroll,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Education,argentscroll@antir.org,2020-01-01,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":57,""Value"":""Zahra bint al-Rammah""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":6,""Value"":""Education""}",False,False,Argent Scroll,False,[]
0,Lists%252fHeraldic%2bOffices%252f5_.000,5,Belated Rose,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,belatedrose@antir.org,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":5,""Value"":""Gwenlianna Clutterbooke""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":4,""Value"":""Staff""}",,False,Belated Rose,False,[]
0,Lists%252fHeraldic%2bOffices%252f6_.000,6,Boar,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Armory Submissions,boar@antir.org,2021-04-30,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":29,""Value"":""Elisabeth de Rossignol""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":7,""Value"":""Submissions""}",,False,Boar,False,[]
0,Lists%252fHeraldic%2bOffices%252f7_.000,7,Carp,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",,carp@antir.org,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":7,""Value"":""Marya Kargashina""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":4,""Value"":""Staff""}",,False,Carp,False,[]
0,Lists%252fHeraldic%2bOffices%252f8_.000,8,Cheval et Lion,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Heraldic Artist,chevaletlion@antir.org,2019-01-30,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":8,""Value"":""Jadwiga Radomyska""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":4,""Value"":""Staff""}",,False,Cheval et Lion,False,[]
0,Lists%252fHeraldic%2bOffices%252f9_.000,9,Couronne Rouge,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Roll of Arms,couronnerouge@antir.org,2021-09-30,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":135,""Value"":""Vémundr Syvursson""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":7,""Value"":""Submissions""}",True,False,Couronne Rouge,False,[]
0,Lists%252fHeraldic%2bOffices%252f10_.000,10,Demi-Lion,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""An Tir""}",Primary Contingency and Reports,demilion@antir.org,2020-07-18,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":22,""Value"":""Fina MacGrioghair""}",,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":3,""Value"":""Administration""}",True,False,Demi-Lion,False,[]
