@odata.etag,ItemInternalId,ID,Title,Creator,Subject@odata.type,Subject,Subject#Id@odata.type,Subject#Id,Publisher,Date,ResourceType,ResourceType#Id,Format,Format#Id,Language,Language#Id,Modified,Created,Author,Author#Claims,Editor,Editor#Claims,{Identifier},{Link},{Name},{FilenameWithExtension},{Path},{HasAttachments},Source,Location,Description,Contributor
"""5""",1,1,"The Roll of Arms of the Princes, Barons and Knights Who Attended King Edward I. to the Siege of Caerlaverock, in 1300",Thomas Wright,#Collection(Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference),"[{""Id"":1,""Value"":""Armory""},{""Id"":3,""Value"":""Rolls-of-Arms""},{""Id"":8,""Value"":""Names""},{""Id"":57,""Value"":""1251-1300""},{""Id"":5,""Value"":""Blazon""},{""Id"":30,""Value"":""Scotland""}]",#Collection(Int64),"[1,3,8,57,5,30]",John Camden Hotten,1864,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""Book""}",0,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""Book""}",0,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""English""}",1,2018-01-01T06:55:43Z,2017-12-31T19:42:14Z,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blueanchor@antir.org"",""DisplayName"":""Blue Anchor Herald"",""Email"":""blueanchor@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blueanchor@antir.org"",""Department"":""Herald"",""JobTitle"":""Electronic Communications""}",i:0#.f|membership|blueanchor@antir.org,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,Lists%252fResources%252f1_.000,https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/listform.aspx?PageType=4&ListId=973e83c9-26e8-42f3-8419-3843014fce73&ID=1&ContentTypeID=0x01006F695A2D1FCAB64D89E3744D7560513D,"The Roll of Arms of the Princes, Barons and Knights Who Attended King Edward I. to the Siege of Caerlaverock, in 1300","The Roll of Arms of the Princes, Barons and Knights Who Attended King Edward I. to the Siege of Caerlaverock, in 1300",Lists/Resources/,False,,,,
"""4""",2,2,Nomi ed arme dei cavalieri del Tosone d'oro [BSB Cod.icon. 286],anonymous,#Collection(Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference),"[{""Id"":1,""Value"":""Armory""},{""Id"":3,""Value"":""Rolls-of-Arms""},{""Id"":8,""Value"":""Names""},{""Id"":49,""Value"":""Golden-Fleece""},{""Id"":63,""Value"":""1551-1600""},{""Id"":39,""Value"":""Italy""}]",#Collection(Int64),"[1,3,8,49,63,39]",,1560,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""Web page""}",1,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":2,""Value"":""Scans""}",2,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":5,""Value"":""Italian""}",5,2018-01-02T00:55:15Z,2017-12-31T20:31:44Z,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blueanchor@antir.org"",""DisplayName"":""Blue Anchor Herald"",""Email"":""blueanchor@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blueanchor@antir.org"",""Department"":""Herald"",""JobTitle"":""Electronic Communications""}",i:0#.f|membership|blueanchor@antir.org,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,Lists%252fResources%252f2_.000,https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/listform.aspx?PageType=4&ListId=973e83c9-26e8-42f3-8419-3843014fce73&ID=2&ContentTypeID=0x01006F695A2D1FCAB64D89E3744D7560513D,Nomi ed arme dei cavalieri del Tosone d'oro [BSB Cod.icon. 286],Nomi ed arme dei cavalieri del Tosone d'oro [BSB Cod.icon. 286],Lists/Resources/,False,Bayerische StaatsBibliothek: Digital Collections,http://daten.digitale-sammlungen.de/~db/bsb00001369/images/,,
"""4""",3,3,An Annotated List of Period Armorials Available Online,Coblaith Muimnech,#Collection(Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference),"[{""Id"":16,""Value"":""Collections""},{""Id"":3,""Value"":""Rolls-of-Arms""},{""Id"":1,""Value"":""Armory""}]",#Collection(Int64),"[16,3,1]",,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""Web page""}",1,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""English""}",1,2018-01-01T06:26:05Z,2017-12-31T21:16:26Z,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,Lists%252fResources%252f3_.000,https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/listform.aspx?PageType=4&ListId=973e83c9-26e8-42f3-8419-3843014fce73&ID=3&ContentTypeID=0x01006F695A2D1FCAB64D89E3744D7560513D,An Annotated List of Period Armorials Available Online,An Annotated List of Period Armorials Available Online,Lists/Resources/,False,Coblaith Muimnech' Homesite,http://coblaith.net/Heraldry/Armorials/,,
"""8""",4,4,"Dictionary of British Arms, vol 4",Thomas Woodcock,#Collection(Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference),"[{""Id"":1,""Value"":""Armory""}]",#Collection(Int64),[1],Society of Antiquaries of London,2014,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""Book""}",0,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""Book""}",0,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""English""}",1,2017-12-31T22:02:05Z,2017-12-31T21:58:19Z,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,Lists%252fResources%252f4_.000,https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/listform.aspx?PageType=4&ListId=973e83c9-26e8-42f3-8419-3843014fce73&ID=4&ContentTypeID=0x01006F695A2D1FCAB64D89E3744D7560513D,"Dictionary of British Arms, vol 4","Dictionary of British Arms, vol 4",Lists/Resources/,False,,,,
"""1""",5,5,"Dictionary of British Arms, vol 3",Thomas Woodcock,#Collection(Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference),"[{""Id"":1,""Value"":""Armory""}]",#Collection(Int64),[1],Society of Antiquaries of London,2009,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""Book""}",0,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""Book""}",0,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""English""}",1,2017-12-31T22:03:39Z,2017-12-31T22:03:39Z,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,Lists%252fResources%252f5_.000,https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/listform.aspx?PageType=4&ListId=973e83c9-26e8-42f3-8419-3843014fce73&ID=5&ContentTypeID=0x01006F695A2D1FCAB64D89E3744D7560513D,"Dictionary of British Arms, vol 3","Dictionary of British Arms, vol 3",Lists/Resources/,False,,,,
"""1""",6,6,"Dictionary of British Arms, vol 2",Thomas Woodcock,#Collection(Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference),"[{""Id"":1,""Value"":""Armory""}]",#Collection(Int64),[1],Society of Antiquaries of London,1996,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""Book""}",0,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""Book""}",0,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""English""}",1,2017-12-31T22:08:06Z,2017-12-31T22:08:06Z,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,Lists%252fResources%252f6_.000,https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/listform.aspx?PageType=4&ListId=973e83c9-26e8-42f3-8419-3843014fce73&ID=6&ContentTypeID=0x01006F695A2D1FCAB64D89E3744D7560513D,"Dictionary of British Arms, vol 2","Dictionary of British Arms, vol 2",Lists/Resources/,False,,,,
"""1""",7,7,"Dictionary of British Arms, vol 1",Thomas Woodcock,#Collection(Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference),"[{""Id"":1,""Value"":""Armory""}]",#Collection(Int64),[1],Society of Antiquaries of London,1992,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""Book""}",0,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""Book""}",0,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""English""}",1,2017-12-31T22:13:18Z,2017-12-31T22:13:18Z,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,Lists%252fResources%252f7_.000,https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/listform.aspx?PageType=4&ListId=973e83c9-26e8-42f3-8419-3843014fce73&ID=7&ContentTypeID=0x01006F695A2D1FCAB64D89E3744D7560513D,"Dictionary of British Arms, vol 1","Dictionary of British Arms, vol 1",Lists/Resources/,False,,,,
"""1""",8,8,Heraldic Art & Design,Anthony Wood,#Collection(Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference),"[{""Id"":1,""Value"":""Armory""}]",#Collection(Int64),[1],"Shaw & Sons, Ltd",1996,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""Book""}",0,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":0,""Value"":""Book""}",0,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""English""}",1,2017-12-31T22:14:57Z,2017-12-31T22:14:57Z,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,Lists%252fResources%252f8_.000,https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/listform.aspx?PageType=4&ListId=973e83c9-26e8-42f3-8419-3843014fce73&ID=8&ContentTypeID=0x01006F695A2D1FCAB64D89E3744D7560513D,Heraldic Art & Design,Heraldic Art & Design,Lists/Resources/,False,,,,
"""3""",9,9,Links to Online Rolls of Arms,Christine Ward,#Collection(Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference),"[{""Id"":1,""Value"":""Armory""},{""Id"":16,""Value"":""Collections""},{""Id"":3,""Value"":""Rolls-of-Arms""}]",#Collection(Int64),"[1,16,3]",,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""Web page""}",1,,,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""English""}",1,2018-01-01T09:55:17Z,2017-12-31T22:17:02Z,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,Lists%252fResources%252f9_.000,https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/listform.aspx?PageType=4&ListId=973e83c9-26e8-42f3-8419-3843014fce73&ID=9&ContentTypeID=0x01006F695A2D1FCAB64D89E3744D7560513D,Links to Online Rolls of Arms,Links to Online Rolls of Arms,Lists/Resources/,False,Viking Answer Lady,http://www.vikinganswerlady.com/Stars/Rolls_of_Arms.html,,
"""3""",10,10,Wappenbuch [BSB Cod.icon. 310],Anton Tirol,#Collection(Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference),"[{""Id"":1,""Value"":""Armory""},{""Id"":3,""Value"":""Rolls-of-Arms""},{""Id"":61,""Value"":""1451-1500""},{""Id"":62,""Value"":""1501-1550""},{""Id"":40,""Value"":""Germany""}]",#Collection(Int64),"[1,3,61,62,40]",,late 15c-1540,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":1,""Value"":""Web page""}",1,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedReference"",""Id"":2,""Value"":""Scans""}",2,,,2018-01-02T01:04:36Z,2017-12-31T22:23:52Z,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,"{""@odata.type"":""#Microsoft.Azure.Connectors.SharePoint.SPListExpandedUser"",""Claims"":""i:0#.f|membership|blacklion@antir.org"",""DisplayName"":""Black Lion Herald"",""Email"":""blacklion@antir.org"",""Picture"":""https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/UserPhoto.aspx?Size=L&AccountName=blacklion@antir.org"",""Department"":""Herald"",""JobTitle"":""Principal Herald""}",i:0#.f|membership|blacklion@antir.org,Lists%252fResources%252f10_.000,https://antirsca.sharepoint.com/sites/antirheralds90/_layouts/15/listform.aspx?PageType=4&ListId=973e83c9-26e8-42f3-8419-3843014fce73&ID=10&ContentTypeID=0x01006F695A2D1FCAB64D89E3744D7560513D,Wappenbuch [BSB Cod.icon. 310],Wappenbuch [BSB Cod.icon. 310],Lists/Resources/,False,Bayerische StaatsBibliothek: Digital Collections,http://daten.digitale-sammlungen.de/~db/bsb00001649/images/,,
